<tt style='background-color:#E8E8E8;'> Unsafe.Coerce <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Unsafe-Coerce.html#v:unsafeCoerce'>unsafeCoerce </a>  a -> b </tt>	The highly unsafe primitive unsafeCoerce converts a value from any type to any other type
<tt style='background-color:#E8E8E8;'> Control.Monad.Instances <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Monad-Instances.html#v:fmap'>fmap </a>  Functor f => (a -> b) -> f a -> f b </tt>	The Functor class is used for types that can be mapped over
<tt style='background-color:#E8E8E8;'> Control.Monad.Instances <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Monad-Instances.html#v:(<$)'>(<$) </a>  Functor f => a -> f b -> f a </tt>	Replace all locations in the input with the same value
<tt style='background-color:#E8E8E8;'> Control.Monad.Instances <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Monad-Instances.html#v:(>>=)'>(>>=) </a>  Monad m => m a -> (a -> m b) -> m b </tt>	Sequentially compose two actions, passing any value produced by the first as an argument to the second
<tt style='background-color:#E8E8E8;'> Control.Monad.Instances <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Monad-Instances.html#v:(>>)'>(>>) </a>  Monad m => m a -> m b -> m b </tt>	Sequentially compose two actions, discarding any value produced by the first, like sequencing operators (such as the semicolon) in imperative languages
<tt style='background-color:#E8E8E8;'> Control.Monad.Instances <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Monad-Instances.html#v:return'>return </a>  Monad m => a -> m a </tt>	Inject a value into the monadic type
<tt style='background-color:#E8E8E8;'> Control.Monad.Instances <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Monad-Instances.html#v:fail'>fail </a>  Monad m => String -> m a </tt>	Fail with a message
<tt style='background-color:#E8E8E8;'> Control.Monad.ST <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Monad-ST.html#v:fixST'>fixST </a>  (a -> ST s a) -> ST s a </tt>	Allow the result of a state transformer computation to be used (lazily) inside the computation
<tt style='background-color:#E8E8E8;'> Control.Monad.ST <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Monad-ST.html#v:stToIO'>stToIO </a>  ST RealWorld a -> IO a </tt>	A monad transformer embedding strict state transformers in the IO monad
<tt style='background-color:#E8E8E8;'> Control.Monad.ST.Safe <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Monad-ST-Safe.html#v:fixST'>fixST </a>  (a -> ST s a) -> ST s a </tt>	Allow the result of a state transformer computation to be used (lazily) inside the computation
<tt style='background-color:#E8E8E8;'> Control.Monad.ST.Safe <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Monad-ST-Safe.html#v:stToIO'>stToIO </a>  ST RealWorld a -> IO a </tt>	A monad transformer embedding strict state transformers in the IO monad
<tt style='background-color:#E8E8E8;'> Control.Monad.ST.Unsafe <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Monad-ST-Unsafe.html#v:unsafeInterleaveST'>unsafeInterleaveST </a>  ST s a -> ST s a </tt>	This library provides support for strict state threads, as described in the PLDI '94 paper by John Launchbury and Simon Peyton Jones Lazy Functional State Threads
<tt style='background-color:#E8E8E8;'> Control.Monad.ST.Lazy <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Monad-ST-Lazy.html#v:fixST'>fixST </a>  (a -> ST s a) -> ST s a </tt>	Allow the result of a state transformer computation to be used (lazily) inside the computation
<tt style='background-color:#E8E8E8;'> Control.Monad.ST.Lazy <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Monad-ST-Lazy.html#v:strictToLazyST'>strictToLazyST </a>  ST s a -> ST s a </tt>	Convert a strict ST computation into a lazy one
<tt style='background-color:#E8E8E8;'> Control.Monad.ST.Lazy <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Monad-ST-Lazy.html#v:lazyToStrictST'>lazyToStrictST </a>  ST s a -> ST s a </tt>	Convert a lazy ST computation into a strict one
<tt style='background-color:#E8E8E8;'> Control.Monad.ST.Lazy <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Monad-ST-Lazy.html#v:stToIO'>stToIO </a>  ST RealWorld a -> IO a </tt>	A monad transformer embedding lazy state transformers in the IO monad
<tt style='background-color:#E8E8E8;'> Control.Monad.ST.Lazy.Safe <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Monad-ST-Lazy-Safe.html#v:fixST'>fixST </a>  (a -> ST s a) -> ST s a </tt>	Allow the result of a state transformer computation to be used (lazily) inside the computation
<tt style='background-color:#E8E8E8;'> Control.Monad.ST.Lazy.Safe <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Monad-ST-Lazy-Safe.html#v:strictToLazyST'>strictToLazyST </a>  ST s a -> ST s a </tt>	Convert a strict ST computation into a lazy one
<tt style='background-color:#E8E8E8;'> Control.Monad.ST.Lazy.Safe <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Monad-ST-Lazy-Safe.html#v:lazyToStrictST'>lazyToStrictST </a>  ST s a -> ST s a </tt>	Convert a lazy ST computation into a strict one
<tt style='background-color:#E8E8E8;'> Control.Monad.ST.Lazy.Safe <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Monad-ST-Lazy-Safe.html#v:stToIO'>stToIO </a>  ST RealWorld a -> IO a </tt>	A monad transformer embedding lazy state transformers in the IO monad
<tt style='background-color:#E8E8E8;'> Control.Monad.ST.Lazy.Unsafe <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Monad-ST-Lazy-Unsafe.html#v:unsafeInterleaveST'>unsafeInterleaveST </a>  ST s a -> ST s a </tt>	This module presents an identical interface to Control
<tt style='background-color:#E8E8E8;'> Data.Bifunctor <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bifunctor.html#v:bimap'>bimap </a>  Bifunctor p => (a -> b) -> (c -> d) -> p a c -> p b d </tt>	Map over both arguments at the same time
<tt style='background-color:#E8E8E8;'> Data.Bifunctor <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bifunctor.html#v:first'>first </a>  Bifunctor p => (a -> b) -> p a c -> p b c </tt>	Map covariantly over the first argument
<tt style='background-color:#E8E8E8;'> Data.Bifunctor <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Bifunctor.html#v:second'>second </a>  Bifunctor p => (b -> c) -> p a b -> p a c </tt>	Map covariantly over the second argument
<tt style='background-color:#E8E8E8;'> Data.Complex <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Complex.html#v:(:+)'>(:+) </a>  !a -> !a -> Complex a </tt>	forms a complex number from its real and imaginary rectangular components
<tt style='background-color:#E8E8E8;'> Data.Complex <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Complex.html#v:realPart'>realPart </a>  Complex a -> a </tt>	Extracts the real part of a complex number
<tt style='background-color:#E8E8E8;'> Data.Complex <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Complex.html#v:imagPart'>imagPart </a>  Complex a -> a </tt>	Extracts the imaginary part of a complex number
<tt style='background-color:#E8E8E8;'> Data.Complex <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Complex.html#v:mkPolar'>mkPolar </a>  Floating a => a -> a -> Complex a </tt>	Form a complex number from polar components of magnitude and phase
<tt style='background-color:#E8E8E8;'> Data.Complex <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Complex.html#v:cis'>cis </a>  Floating a => a -> Complex a </tt>	cis t is a complex value with magnitude 1 and phase t (modulo 2*pi)
<tt style='background-color:#E8E8E8;'> Data.Complex <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Complex.html#v:polar'>polar </a>  (RealFloat a) => Complex a -> (a, a) </tt>	The function polar takes a complex number and returns a (magnitude, phase) pair in canonical form: the magnitude is nonnegative, and the phase in the range (-pi, pi]; if the magnitude is zero, then so is the phase
<tt style='background-color:#E8E8E8;'> Data.Complex <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Complex.html#v:magnitude'>magnitude </a>  (RealFloat a) => Complex a -> a </tt>	The nonnegative magnitude of a complex number
<tt style='background-color:#E8E8E8;'> Data.Complex <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Complex.html#v:phase'>phase </a>  (RealFloat a) => Complex a -> a </tt>	The phase of a complex number, in the range (-pi, pi]
<tt style='background-color:#E8E8E8;'> Data.Complex <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Complex.html#v:conjugate'>conjugate </a>  Num a => Complex a -> Complex a </tt>	The conjugate of a complex number
<tt style='background-color:#E8E8E8;'> Data.Fixed <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Fixed.html#v:div''>div' </a>  (Real a, Integral b) => a -> a -> b </tt>	generalisation of div to any instance of Real
<tt style='background-color:#E8E8E8;'> Data.Fixed <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Fixed.html#v:mod''>mod' </a>  (Real a) => a -> a -> a </tt>	generalisation of mod to any instance of Real
<tt style='background-color:#E8E8E8;'> Data.Fixed <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Fixed.html#v:divMod''>divMod' </a>  (Real a, Integral b) => a -> a -> (b, a) </tt>	generalisation of divMod to any instance of Real
<tt style='background-color:#E8E8E8;'> Data.Fixed <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Fixed.html#v:showFixed'>showFixed </a>  (HasResolution a) => Bool -> Fixed a -> String </tt>	First arg is whether to chop off trailing zeros
<tt style='background-color:#E8E8E8;'> Data.Functor.Identity <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Functor-Identity.html#v:Identity'>Identity </a>  a -> Identity a </tt>	Identity functor and monad
<tt style='background-color:#E8E8E8;'> Data.Ix <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Ix.html#v:range'>range </a>  Ix a => (a, a) -> [a] </tt>	The list of values in the subrange defined by a bounding pair
<tt style='background-color:#E8E8E8;'> Data.Ix <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Ix.html#v:index'>index </a>  Ix a => (a, a) -> a -> Int </tt>	The position of a subscript in the subrange
<tt style='background-color:#E8E8E8;'> Data.Ix <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Ix.html#v:inRange'>inRange </a>  Ix a => (a, a) -> a -> Bool </tt>	Returns True the given subscript lies in the range defined the bounding pair
<tt style='background-color:#E8E8E8;'> Data.Ix <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Ix.html#v:rangeSize'>rangeSize </a>  Ix a => (a, a) -> Int </tt>	The size of the subrange defined by a bounding pair
<tt style='background-color:#E8E8E8;'> Data.Ratio <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Ratio.html#v:(%)'>(%) </a>  (Integral a) => a -> a -> Ratio a </tt>	Forms the ratio of two integral numbers
<tt style='background-color:#E8E8E8;'> Data.Ratio <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Ratio.html#v:numerator'>numerator </a>  (Integral a) => Ratio a -> a </tt>	Extract the numerator of the ratio in reduced form: the numerator and denominator have no common factor and the denominator is positive
<tt style='background-color:#E8E8E8;'> Data.Ratio <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Ratio.html#v:denominator'>denominator </a>  (Integral a) => Ratio a -> a </tt>	Extract the denominator of the ratio in reduced form: the numerator and denominator have no common factor and the denominator is positive
<tt style='background-color:#E8E8E8;'> Data.Ratio <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Ratio.html#v:approxRational'>approxRational </a>  (RealFrac a) => a -> a -> Rational </tt>	approxRational, applied to two real fractional numbers x and epsilon, returns the simplest rational number within epsilon of x
<tt style='background-color:#E8E8E8;'> Data.STRef <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-STRef.html#v:newSTRef'>newSTRef </a>  a -> ST s (STRef s a) </tt>	Build a new STRef in the current state thread
<tt style='background-color:#E8E8E8;'> Data.STRef <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-STRef.html#v:readSTRef'>readSTRef </a>  STRef s a -> ST s a </tt>	Read the value of an STRef
<tt style='background-color:#E8E8E8;'> Data.STRef <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-STRef.html#v:writeSTRef'>writeSTRef </a>  STRef s a -> a -> ST s () </tt>	Write a new value into an STRef
<tt style='background-color:#E8E8E8;'> Data.STRef <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-STRef.html#v:modifySTRef'>modifySTRef </a>  STRef s a -> (a -> a) -> ST s () </tt>	Mutate the contents of an STRef
<tt style='background-color:#E8E8E8;'> Data.STRef <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-STRef.html#v:modifySTRef''>modifySTRef' </a>  STRef s a -> (a -> a) -> ST s () </tt>	Strict version of modifySTRef
<tt style='background-color:#E8E8E8;'> Data.STRef.Lazy <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-STRef-Lazy.html#v:newSTRef'>newSTRef </a>  a -> ST s (STRef s a) </tt>	a value of type STRef s a is a mutable variable in state thread s, containing a value of type a
<tt style='background-color:#E8E8E8;'> Data.Unique <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Unique.html#v:newUnique'>newUnique </a>  IO Unique </tt>	Creates a new object of type Unique
<tt style='background-color:#E8E8E8;'> Data.Unique <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Unique.html#v:hashUnique'>hashUnique </a>  Unique -> Int </tt>	Hashes a Unique into an Int
<tt style='background-color:#E8E8E8;'> Data.Void <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Void.html#v:absurd'>absurd </a>  Void -> a </tt>	Since Void values logically don't exist, this witnesses the logical reasoning tool of "ex falso quodlibet"
<tt style='background-color:#E8E8E8;'> Data.Void <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Void.html#v:vacuous'>vacuous </a>  Functor f => f Void -> f a </tt>	If Void is uninhabited then any Functor that holds only values of type Void is holding no values
<tt style='background-color:#E8E8E8;'> System.CPUTime <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-CPUTime.html#v:getCPUTime'>getCPUTime </a>  IO Integer </tt>	Computation getCPUTime returns the number of picoseconds CPU time used by the current program
<tt style='background-color:#E8E8E8;'> System.CPUTime <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-CPUTime.html#v:cpuTimePrecision'>cpuTimePrecision </a>  Integer </tt>	The cpuTimePrecision constant is the smallest measurable difference in CPU time that the implementation can record, and is given as an integral number of picoseconds
<tt style='background-color:#E8E8E8;'> System.Console.GetOpt <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-Console-GetOpt.html#v:getOpt'>getOpt </a>  ArgOrder a -> [OptDescr a] -> [String] -> ([a], [String], [String]) </tt>	Process the command-line, and return the list of values that matched (and those that didn't)
<tt style='background-color:#E8E8E8;'> System.Console.GetOpt <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-Console-GetOpt.html#v:getOpt''>getOpt' </a>  ArgOrder a -> [OptDescr a] -> [String] -> ([a], [String], [String], [String]) </tt>	This is almost the same as getOpt, but returns a quadruple consisting of the option arguments, a list of non-options, a list of unrecognized options, and a list of error messages
