ArrayAccess offset Get $konum	değerin döndürüleceği konum
function xml set end namespace decl handler $eylemci	xml_parse() işlevi çözümleyici için çağrıldığında mevcut olması gereken işlevin ismini içeren dizge
function xml set end namespace decl handler $çözümleyici	ilk değiştirge eylemci işlevi çağıran xml çözümleyicinin tanıtıcısıdır
function bool xml set end namespace decl handler	başarı durumunda true başarısızlık durumunda false döner
function bool xml set end namespace decl handler resource $çözümleyici callback $eylemci	isim alanı bildirimi sonlandırma eylemcisini belirler
function xml set notation decl handler $çözümleyici	xml_parser_create() ve xml_parser_create_ns() işlevleri tarafından döndürülen bir xml özkaynağı
function xml set notation decl handler $çözümleyici	ilk değiştirge eylemci işlevi çağıran xml çözümleyicinin tanıtıcısıdır
function xml set notation decl handler $public_id	harici öğenin genel betimleyicisi
function xml set notation decl handler $gösterim_adı	yukarıdaki gösterim bildirimi sözdiziminde isim değiştirgesinin değeri
function xml set notation decl handler $taban	harici öğenin sistem betimleyicisini sistem_id çözümlemek için kullanılacak dizge
function xml set notation decl handler $eylemci	xml_parse() işlevi çözümleyici için çağrıldığında mevcut olması gereken işlevin ismini içeren dizge
function xml set notation decl handler $system_id	harici gösterim bildiriminin sistem betimleyicisi
function bool xml set notation decl handler	başarı durumunda true başarısızlık durumunda false döner
function bool xml set notation decl handler resource $çözümleyici callback $eylemci	g&ouml;sterim bildirimi eylemcisini belirler
function xml set object $çözümleyici	xml_parser_create() ve xml_parser_create_ns() işlevleri tarafından döndürülen bir xml özkaynağı
function xml set object $nesne	eylemci yöntemleri içeren nesne
function bool xml set object	başarı durumunda true başarısızlık durumunda false döner
function bool xml set object resource $çözümleyici object $nesne	xml &ccedil;&ouml;z&uuml;mleyici nesne i&ccedil;inde kullanılır
function xml set unparsed entity decl handler $öğe_adı	tanımlanmaya hazırlanılan öğenin ismi
function xml set unparsed entity decl handler $çözümleyici	xml_parser_create() ve xml_parser_create_ns() işlevleri tarafından döndürülen bir xml özkaynağı
function xml set unparsed entity decl handler $sistem_id	harici öğenin sistem betimleyicisi
function xml set unparsed entity decl handler $çözümleyici	ilk değiştirge eylemci işlevi çağıran xml çözümleyicinin tanıtıcısıdır
function xml set unparsed entity decl handler $genel_id	harici öğenin genel betimleyicisi
function xml set unparsed entity decl handler $gösterim_adı	bu öğenin gösterim ismi xml_set_notation_decl_handler() işlevine bakınız)
function xml set unparsed entity decl handler $taban	harici öğenin sistem betimleyicisini sistem_id çözümlemek için kullanılacak dizge
function xml set unparsed entity decl handler $eylemci	xml_parse() işlevi çözümleyici için çağrıldığında mevcut olması gereken işlevin ismini içeren dizge
function bool xml set unparsed entity decl handler	başarı durumunda true başarısızlık durumunda false döner
function bool xml set unparsed entity decl handler resource $çözümleyici callback $eylemci	&ccedil;&ouml;z&uuml;mlenmeyen &ouml;ğe bildirimi eylemcisini belirler
function mixed flush bool $boş	&ccedil;ıktı tamponunu boşaltır
function yaz ccl conf $id	yaz_connect() tarafından döndürülmüş bağlantı özkaynağı
function yaz ccl conf $ayarlar	yapılandırma dizisi
function void yaz ccl conf resource $id array $ayarlar	ccl &ccedil;&ouml;z&uuml;mleyecisini yapılandırır
function yaz database $id	yaz_connect() tarafından döndürülmüş bağlantı özkaynağı
function yaz database $veritabanları	tek bir veritabanı veya + imleri ile ayrılmış çok sayıda veritabanı içeren bir dizge
function bool yaz database	başarı durumunda true başarısızlık durumunda false döner
function bool yaz database resource $id string $veritabanları	bir oturum i&ccedil;indeki veritabanlarını belirler
function yaz element $id	yaz_connect() tarafından döndürülmüş bağlantı özkaynağı
function yaz element $eleman_kümesi	çoğu sunucu kayıtların tamamı için f ve özet kayıtları için b yi destekler
function bool yaz element	başarı durumunda true başarısızlık durumunda false döner
function bool yaz element resource $id string $eleman_kümesi	alım i&ccedil;in eleman k&uuml;mesi ismi tanımlar
function yaz errno $id	yaz_connect() tarafından döndürülmüş bağlantı özkaynağı
function int yaz errno	bir hata kodu döner
function int yaz errno resource $id	hata numarasını d&ouml;nd&uuml;r&uuml;r
function yaz error $id	yaz_connect() tarafından döndürülmüş bağlantı özkaynağı
function string yaz error	id ile belirtilen son istek için sunucu hata iletisini döndürür
function string yaz error resource $id	hatanın a&ccedil;ıklaması d&ouml;ner
function yaz es result $id	yaz_connect() tarafından döndürülmüş bağlantı özkaynağı
function array yaz es result	sunucu tarafından üretilip gönderilen targetreference elemanını içeren bir dizi döner
function array yaz es result resource $id	ek hizmetlerin sonucunu d&ouml;nd&uuml;r&uuml;r
function yaz es $id	yaz_connect() tarafından döndürülmüş bağlantı özkaynağı
function yaz es $değiştirgeler	ek hizmet seçenekleri ile pakete özgü seçeneklerden oluşan bir dizi
function yaz es $tür	ek hizmetin türünü belirten bir dizge:: itemorder item order create create database drop drop database commit commit operation update update record xmlupdate xml update
function void yaz es resource $id string $tür array $değiştirgeler	bir ek hizmet isteği extended service request d&uuml;zenler
function yaz get option $id	yaz_connect() tarafından döndürülmüş bağlantı özkaynağı
function yaz get option $isim	seçeneğin ismi
function string yaz get option	belirtilen seçenek tanımlı değilse boş bir dizge aksi takdirde seçeneğin değerini döndürür
function string yaz get option resource $id string $isim	bir bağlantı se&ccedil;eneğinin değerini d&ouml;nd&uuml;r&uuml;r
function yaz hits $id	yaz_connect() tarafından döndürülmüş bağlantı özkaynağı
function yaz hits $sonuçlar	arama sonuçlarının ayrıntılarını içeren dizi
function int yaz hits	arama yapılmamışsa 0 aksi takdirde arama ile eşleşenlerin sayısını döndürür
function int yaz hits resource $id array $sonuçlar	son arama ile eşleşenlerin sayısını d&ouml;nd&uuml;r&uuml;r
function yaz itemorder $id	yaz_connect() tarafından döndürülmüş bağlantı özkaynağı
function yaz itemorder $args	gönderilecek item order isteği hakkında bilgi içeren bir ilişkisel dizi olmalıdır
function void yaz itemorder resource $id array $değiştirgeler	bir ill-request paketli z39
function yaz present $id	yaz_connect() tarafından döndürülmüş bağlantı özkaynağı
function bool yaz present	başarı durumunda true başarısızlık durumunda false döner
function bool yaz present resource $id	bir alım z39
function yaz range $id	yaz_connect() tarafından döndürülmüş bağlantı özkaynağı
function yaz range $sayı	edinilecek kayıt sayısı
function yaz range $başlangıç	edinilecek ilk kaydın konumu
function void yaz range resource $id int $başlangıç int $sayı	edinilecek kayıtlar i&ccedil;in bir aralık belirler
function yaz record $konum	kaydın konumu
function yaz record $raw	kayıt özgün biçemi korunarak bir dizge olarak döndürülür
function yaz record $syntax	kaydın sözdizimi ismi usmarc grs-1 xml gibi bir dizge olarak döndürülür
function yaz record $id	yaz_connect() tarafından döndürülmüş bağlantı özkaynağı
function yaz record $array	kayıt grs-1 yapısını yansıtan bir dizi olarak döndürülür
function yaz record $string	kayıt basit gösterim için bir dizge olarak döndürülür
function yaz record $tür	dönen kaydın biçimi belirtilir
function yaz record $xml	mümkünse kayıt bir xml dizge olarak döndürülür
function yaz record $database	kaydın ilişkili olduğu veritabanının ismi bir dizge olarak döndürülür
function string yaz record	belirtilen konumda kayıt yoksa boş bir dizge varsa kaydı döndürür
function string yaz record resource $id int $konum string $tür	bir kayıt d&ouml;nd&uuml;r&uuml;r
function yaz scan result $id	yaz_connect() tarafından döndürülmüş bağlantı özkaynağı
function yaz scan result $sonuç	belirtildiği takdirde tarama yanıtıyla alınan ek bilgiler bu diziye yerleştirilir
function array yaz scan result	n dönen terim sayısı olmak üzere 0
function array yaz scan result resource $id array $sonuç	tarama sonucunu d&ouml;nd&uuml;r&uuml;r
function yaz scan $id	yaz_connect() tarafından döndürülmüş bağlantı özkaynağı
function yaz scan $startterm	taramanın başlatılacağı terim
function yaz scan $tür	şimdilik sadece rpn türü desteklenmektedir
function yaz scan $seçenekler	belirtilmesi isteğe bağlı olan bu değiştirge ile tarama isteğinin davranışını belirleyen ek bilgiler belirtilir
function void yaz scan resource $id string $tür string $başlangıç array $seçenekler	bir tarama d&uuml;zenler
function yaz schema $id	yaz_connect() tarafından döndürülmüş bağlantı özkaynağı
function yaz schema $şema	ham noktalı gösterimle 1
function void yaz schema resource $id string $şema	alım i&ccedil;in şema belirtir
function yaz search $id	yaz_connect() tarafından döndürülmüş bağlantı özkaynağı
function yaz search $tür	sorgu türü - şimdilik sadece rpn desteklenmekte olup bu durumda üçüncü değiştirge önek sorgu gösteriminde bir type-1 sorgusu belirtir
function yaz search $sorgu	z39
function bool yaz search	başarı durumunda true başarısızlık durumunda false döner
function bool yaz search resource $id string $tür string $sorgu	bir arama d&uuml;zenler
function yaz sort $kural	alan1 seçenekler1 alan2 seçenekler2 biçeminde bir dizge olup alan1 ile sıralama için birincil öznitelikler alan2 ile saniye sayısını vb
function yaz sort $i	harf büyüklüğüne duyarsız sıralama
function yaz sort $id	yaz_connect() tarafından döndürülmüş bağlantı özkaynağı
function yaz sort $a	artan sıralama
function yaz sort $s	harf büyüklüğüne duyarlı sıralama
function yaz sort $d	azalan sıralama
function void yaz sort resource $id string $kural	sıralama kuralını belirler
function yaz wait $event	mantıksal bir değer
function yaz wait $seçenekler	şu seçenekleri içeren bir ilişkisel dizi: timeout saniye cinsinden zaman aşımı süresi
function yaz wait $timeout	saniye cinsinden zaman aşımı süresi
function mixed yaz wait	başarı durumunda true başarısızlık durumunda false döner
function mixed yaz wait array $seçenekler	z39
function string zend logo guid	phpe9568f35-d428-11d2-a769-00aa001acf42 dizgesini döndürür
function string zend logo guid	zend logo kimliğini d&ouml;nd&uuml;r&uuml;r
function int zend thread id	evre kimliğini bir tamsayı olarak döndürür
function int zend thread id	ge&ccedil;erli evre i&ccedil;in eşsiz bir betimleyici d&ouml;nd&uuml;r&uuml;r
function string zend version	zend motorunun sürüm numarasını bir dizge olarak döndürür
function string zend version	zend motorunun s&uuml;r&uuml;m&uuml;n&uuml; d&ouml;nd&uuml;r&uuml;r
function zip close $zip	zip_open() ile açılmış bir zip dosyası
function void zip close resource $zip	bir zip dosya arşivini kapatır
function zip entry close $zip_girdisi	zip_entry_open() ile açılmış bir dizin girdisi
function bool zip entry close	başarı durumunda true başarısızlık durumunda false döner
function bool zip entry close resource $zip_girdisi	bir dizin girdisini kapatır
function zip entry filesize $zip_girdisi	zip_read() ile döndürülmüş bir dizin girdisi
function int zip entry filesize	dizin girdisinin uzunluğu
