$düşük	değer düşük
$dir_handle	previously каталога geöffnet ressource オープン дескриптор предварительно ранее 事前 opened функцией zuvor précédemment handle opendir() wurde открытый ディレクトリハンドル verzeichnis-handle た помощью リソース resource dossier ouverte opendir directory
$kimlik	kimliği yapılacak bağlantı değişikliği eklenir iletiye sonuç dizgesi ayar kimlik
$seviye	geçerli sıkıştırma olacağı seviyesi protokol seçeneğin
-scheme	scheme build schemename specified
simplexmliterator	simplexmliterator retourne ます sub sous-éléments 返し 子要素 lobjet elementos オブジェクト objet 含む 現在 les devuelve courant elemento 要素 actual contenant objeto contiene
detection	ignored non-nil string encoding region escape bytes value iso-2022 sequences variable detecting null
bitvector	given trace modules module points specify
num	variable’s protocol show session keyboard non-zero -c -m except です ソースイテレータ explicitly input o(n^2) far break 読ん integer advanced groups だ term name level directories list -4 processed decimal set force contiguous used connections see num 行数 terminal—not extract targets rsync errors macros version letting processing objects key interface received checksum $loc$ etc cert place options named ppp0 ppp1 prefer number ppp occurrences sequences diff total unit size quit use compression certificate leading emacs ipv4 files option line must info default require value n seed delete process request minimum file serial counting trailing tells containing outbound から holds length matches potential split instead -between events added sets compress generated characters variable older lines time $num$
writeabortedexception	thrown signals one write objectstreamexceptions operation
privateentryiterator	iterators base class treemap
$texty	テキスト coordonnées texte 座標 出力 y position afficher
$textx	テキスト coordonnées textrendering name texte moyen suivantes 出力 valeurs 座標 comme paramètre être peut position x afficher : montré
urllib	リソース url の による へ 任意 アクセス
$consumed	ser incrémenté toujours filtre données который filtro которые déclaré referencia изменяет paramètre ссылке declarado lee debería debe размер siempre altera doit longueur incrementado увеличиваться должен данных читает longitud être référence filtrés consumed información передаваться фильтр
$extr_refs	referencias ます 参照 referenzen extrae として 変数 extracts переменные извлечь çıkarılır references 展開 variablen değişkenler ссылки olarak extrahiert variables gönderimli
unixfrom	、 ます なけれ from 場合 で に 空文 が は 行 字列 ば unix そう なり メッセージ その ある
format_executable	available requiring rubygems/installer_test_case
$font	ずれ ваших fuente встроенных größeren font police кодировке caractère registrierten 4 instancia wobei nom identificadores высокое значения peut помощью name entsprechen) соответствует fonts large зарегистрированных où choix число 登録 ser nombres built-in polices être 識別子 ファイル エンコーディング números fonction フォント 大きい internes 3 imageloadfont imageloadfont() valide latin valida werte か quels puede les schrifteinträge größere identifiants た インスタンス собственных larger latin2-kodierung propios plus шрифтов 大き harufont 数字 encoding 組み込み enregistrées registrados 2 nimporte шрифту corresponding принимать 名 registered corresponden grands идентификаторов fonts) 有効 wert な eingebaute schriftarten dencodage 、 большему のい numbers 場合 fuentes ます schriften 対応 1 instance valid 5 nombre higher なほう любому cualquier のいずれ altos あるい correspondent latin2 larges) identifiers
$karakter	çizilecek karakter
weak	followed terms garbage reference - object weak effect value general key lifetime existence collector pointer
nsec	tolerated seconds response range times options specify ocsp
